id,time_stamp,x_angle,y_angle,z_angle
6793,1713071019652,135.661285400391,-24.7445278167725,-27.2550182342529
6794,1713071019653,112.837997436523,-29.3993701934814,-28.2007675170898
6795,1713071019653,72.6436614990234,-34.1276969909668,-28.1411323547363
6796,1713071019654,57.319766998291,-38.0619277954102,-25.2622241973877
6797,1713071019654,55.3817710876465,-42.0745544433594,-20.2590503692627
6798,1713071019654,56.0837860107422,-46.1647109985352,-14.6207418441772
6799,1713071019655,39.7121429443359,-51.0221328735352,-18.7232475280762
6800,1713071019655,9.33146381378174,-53.9136199951172,-31.5880126953125
6801,1713071019655,47.04931640625,-53.9136199951172,-31.5880126953125
6802,1713071019706,53.4353408813477,-60.4679298400879,-20.1630878448486
6803,1713071019714,21.0041465759277,-56.4891662597656,-38.7790641784668
6804,1713071019717,-77.0519485473633,-47.7072944641113,-62.1592483520508
6805,1713071019718,-102.097618103027,-42.4949226379395,-56.1707038879395
6806,1713071019739,93.1788177490234,-43.9611129760742,-31.3898754119873
6807,1713071019744,100.994560241699,-43.6718978881836,-13.91441822052
6808,1713071019749,96.695442199707,-48.0412063598633,-4.39494228363037
6809,1713071019753,84.0468673706055,-53.2574043273926,-7.78483438491821
6810,1713071019818,67.9448776245117,-57.3985748291016,-14.4757852554321
6811,1713071019823,56.9525566101074,-59.3393363952637,-19.3452835083008
6812,1713071019825,53.3602523803711,-59.420726776123,-21.5057601928711
6813,1713071019826,60.0125007629395,-57.1161994934082,-20.4819469451904
6814,1713071019829,70.5162124633789,-54.4385375976563,-17.6563968658447
6815,1713071019831,74.8046112060547,-52.6949310302734,-17.7563571929932
6816,1713071019833,75.8388748168945,-51.0755615234375,-20.5392627716064
6817,1713071019834,76.1847229003906,-50.7489738464355,-21.0410995483398
6818,1713071019857,76.2999725341797,-51.3014755249023,-19.6328868865967
6819,1713071019864,76.8190689086914,-51.8425331115723,-17.9489822387695
6820,1713071019871,75.2868728637695,-52.5967559814453,-17.5693244934082
6821,1713071019877,72.8296279907227,-52.7933311462402,-19.1178112030029
6822,1713071019884,84.2182846069336,-52.7933311462402,-19.1178112030029
6823,1713071019897,90.8978576660156,-50.1388511657715,-19.4615783691406
6824,1713071019898,94.7374420166016,-48.8295974731445,-18.8470058441162
6825,1713071019899,89.9138336181641,-50.3195533752441,-20.1222820281982
6826,1713071019899,81.3512954711914,-53.0045204162598,-21.4145259857178
6827,1713071019975,76.2245788574219,-54.4609718322754,-22.3826370239258
6828,1713071019976,80.8236618041992,-53.2959022521973,-21.1558322906494
6829,1713071019977,85.6584777832031,-52.0683822631836,-19.6087989807129
6830,1713071019978,92.8017425537109,-50.0693092346191,-17.0447158813477
6831,1713071019978,96.2615356445312,-48.749267578125,-16.6203765869141
6832,1713071019979,96.0646820068359,-48.5712776184082,-17.7097969055176
6833,1713071019980,96.8171920776367,-48.0909118652344,-18.5119438171387
6834,1713071019980,88.1036834716797,-50.921070098877,-20.3395442962646
6835,1713071020052,91.7997055053711,-49.3967666625977,-21.0071983337402
6836,1713071020054,85.6849212646484,-51.5007514953613,-21.272777557373
6837,1713071020056,79.0800170898438,-53.1779556274414,-23.0434226989746
6838,1713071020057,84.9713821411133,-51.8046340942383,-21.1263084411621
6839,1713071020059,93.7250289916992,-49.392578125,-18.175106048584
6840,1713071020061,103.871864318848,-45.6193618774414,-15.7273044586182
6841,1713071020062,109.264572143555,-43.0684623718262,-16.1995658874512
6842,1713071020064,107.533088684082,-44.1132583618164,-14.0269975662231
6843,1713071020066,108.961303710938,-44.1132583618164,-14.0269975662231
